,food_class1
0,국밥류
1,일반밥류
2,김밥류
3,덮밥류
4,일반밥류
5,볶음밥류
6,비빔밥류
7,김밥류
8,일반밥류
9,기타밥류
10,기타밥류
11,라이스류
12,짜장밥류
13,일반밥류
14,잡채류
15,주먹밥
16,짬뽕밥
17,일반밥류
18,기타밥류
19,초밥류
20,라이스류
21,일반밥류
22,일반밥류
23,라이스류
24,일반밥류
25,회덮밥류
26,떡류
27,떡류
28,떡류
29,떡류
30,떡류
31,떡류
32,떡류
33,떡류
34,떡류
35,떡류
36,떡류
37,떡류
38,도넛
39,일반빵류
40,베이커리류
41,일반빵류
42,일반빵류
43,베이글
44,샌드위치류
45,일반빵류
46,일반빵류
47,일반빵류
48,기타빵류
49,베이커리류
50,베이커리류
51,크로와상
52,베이커리류
53,베이커리류
54,피자류
55,피자빵
56,버거류
57,호떡
58,자장면류
59,국수류
60,냉면류
61,떡국류
62,떡국류
63,라면류
64,만두류
65,국류
66,국수류
67,수제비류
68,스파게티류
69,우동류
70,우동류
71,월남쌈
72,자장면류
73,짬뽕
74,기타면류
75,국수류
76,국수류
77,죽류
78,스프류
79,죽류
80,죽류
81,죽류
82,죽류
83,죽류
84,죽류
85,갈비류
86,국류
87,곰탕류
88,국류
89,국류
90,내장탕
91,국류
92,국류
93,국류
94,곰탕류
95,곰탕류
96,국류
97,국류
98,국류
99,국류
100,국류
101,국류
102,국류
103,삼계탕
104,새우탕
105,곰탕류
106,국류
107,어묵국(어묵탕)
108,국류
109,국류
110,국류
111,국류
112,국류
113,국류
114,국류
115,국류
116,국류
117,찌개류
118,감자탕
119,전골류
120,김치찌개
121,찌개류
122,전골류
123,찌개류
124,찌개류
125,된장찌개
126,찌개류
127,매운탕류
128,전골류
129,부대찌개
130,샤브샤브
131,전골류
132,순두부찌개
133,찌개류
134,오리백숙
135,오리탕
136,찌개류
137,찌개류
138,찌개류
139,찌개류
140,찌개류
141,기타
142,가오리찜
143,갈비찜
144,감자
145,채소찜류
146,해물찜류
147,채소찜류
148,달걀찜류
149,닭찜류
150,갈비류
151,소고기찜류
152,수육
153,수육족발류
154,아귀찜
155,채소찜류
156,기타
157,족발
158,해물찜류
159,콩나물찜
160,채소찜류
161,생선구이류
162,갈비류
163,갈치구이
164,고등어구이
165,소돼지내장류
166,김구이류
167,기타구이류
168,닭구이류
169,닭발구이
170,떡갈비
171,기타구이류
172,기타구이류
173,채소구이류
174,채소구이류
175,돼지고기구이류
176,생선구이류
177,해물구이류
178,불고기류
179,스테이크류
180,오리구이류
181,오리불고기
182,장어구이
183,해물구이류
184,생선구이류
185,생선구이류
186,닭구이류
187,함박스테이크
188,전류
189,전류
190,전류
191,김치전
192,달걀부침류
193,달걀부침류
194,전류
195,전류
196,전류
197,전류
198,전류
199,전류
200,달걀부침류
201,전류
202,전류
203,전류
204,파전
205,채소볶음류
206,해물볶음류
207,소돼지내장류
208,기타볶음류
209,해물볶음류
210,닭발류
211,고기볶음류
212,채소볶음류
213,고기볶음류
214,고기볶음류
215,떡볶이
216,기타볶음류
217,채소볶음류
218,기타볶음류
219,해물볶음류
220,해물볶음류
221,미역줄기볶음
222,채소볶음류
223,채소볶음류
224,고기볶음류
225,해물볶음류
226,고기볶음류
227,소시지볶음
228,애호박 볶음
229,채소볶음류
230,기타볶음류
231,해물볶음류
232,중식해물볶음류
233,해물볶음류
234,잡채류
235,죽순볶음
236,중식해물볶음류
237,채소볶음류
238,햄볶음
239,기타조림류
240,고등어조림
241,생선조림류
242,닭볶음탕
243,조림류
244,조림류
245,기타조림류
246,조림류
247,기타조림류
248,조림류
249,기타조림류
250,생선조림류
251,생선조림류
252,생선조림류
253,조림류
254,기타조림류
255,조림류
256,조림류
257,기타조림류
258,장조림류
259,생선조림류
260,생선조림류
261,콩조림(콩자반)
262,감자튀김
263,튀각류
264,튀각류
265,튀김류
266,튀김류
267,강정류
268,튀각류
269,탕수류
270,나물류
271,나물류
272,나물류
273,나물류
274,나물류
275,나물류
276,나물류
277,나물류
278,나물류
279,나물류
280,나물류
281,나물류
282,나물류
283,시금치나물
284,나물류
285,나물류
286,나물류
287,나물류
288,나물류
289,나물류
290,나물류
291,나물류
292,나물류
293,나물류
294,무침류
295,골뱅이무침
296,해산물무침류
297,무침류
298,해산물무침류
299,무침류
300,해산물무침류
301,무침류
302,무침류
303,무침류
304,무침류
305,무침류
306,무생채
307,무침류
308,무침류
309,무침류
310,무침류
311,무침류
312,무침류
313,무침류
314,해산물무침류
315,샐러드류
316,무침류
317,오이무침류
318,오이무침류
319,오이무침류
320,해산물무침류
321,해산물무침류
322,해산물무침류
323,해산물무침류
324,무침류
325,무침류
326,무침류
327,해산물무침류
328,해산물무침류
329,해산물무침류
330,무침류
331,김치류
332,김치류
333,김치류
334,물김치류
335,물김치류
336,물김치류
337,김치류
338,김치류
339,김치류
340,김치류
341,젓류
342,젓류
343,젓류
344,젓류
345,젓류
346,게장류
347,장아찌류
348,장아찌류
349,장아찌류
350,장아찌류
351,장아찌류
352,장아찌류
353,장아찌류
354,음료류
355,육회
356,리소토류
357,일반빵류
358,일반빵류
359,계란빵
360,일반빵류
361,일반빵류
362,기타빵류
363,일반빵류
364,마카롱
365,기타빵류
366,버거류
367,일반빵류
368,기타빵류
369,소세지빵
370,베이커리류
371,일반빵류
372,일반빵류
373,베이커리류
374,일반빵류
375,기타빵류
376,일반빵류
377,기타빵류
378,일반빵류
379,타르트
380,일반빵류
381,일반빵류
382,베이커리류
383,핫도그
384,일반빵류
385,일반빵류
386,일반빵류
387,비스킷/쿠키/크래커
388,시리얼
389,웨이퍼
390,젤리
391,초콜릿
392,디저트류
393,일반빵류
394,크로플
395,닭구이류
396,갈비류
397,감자그라탕
398,튀김류
399,튀김류
400,멘보샤
401,유제품류
402,유제품류
403,튀김류
404,닭발류
405,튀김류
406,새우튀김
407,오징어튀김
408,튀김류
409,기타
410,기타
411,빙수
412,샤베트
413,아이스크림
414,유제품류
415,유제품류
416,유제품류
417,유제품류
418,음료류
419,음료류
420,음료류
421,음료류
422,음료류
423,음료류
424,음료류
425,음료류
426,음료류
427,음료류
428,음료류
429,음료류
430,음료류
431,음료류
432,음료류
433,음료류
434,음료류
435,음료류
436,음료류
437,음료류
438,음료류
439,음료류
440,음료류
441,음료류
442,음료류
443,음료류
444,음료류
445,음료류
446,음료류
447,음료류
448,음료류
449,음료류
450,음료류
451,기타
452,기타
453,일반밥류
454,일반밥류
455,일반밥류
456,일반밥류
457,일반밥류
458,초밥류
459,일반밥류
460,초밥류
461,일반밥류
462,일반밥류
463,일반밥류
464,짜장밥류
465,김밥류
466,초밥류
467,떡류
468,떡류
469,떡류
470,떡류
471,떡류
472,떡류
473,떡류
474,떡류
475,떡류
476,떡류
477,디저트류
478,베이커리류
479,일반빵류
480,디저트류
481,디저트류
482,디저트류
483,디저트류
484,국수류
485,라멘
486,메밀소바
487,기타면류
488,볶음면류
489,기타면류
490,국수류
491,비빔면
492,국수류
493,국수류
494,울면
495,기타면류
496,볶음면류
497,죽류
498,죽류
499,죽류
500,죽류
501,죽류
502,죽류
503,죽류
504,죽류
505,죽류
506,죽류
507,죽류
508,죽류
509,국류
510,국류
511,국류
512,국류
513,국류
514,국류
515,국류
516,국류
517,국류
518,국류
519,국류
520,국류
521,국류
522,국류
523,찌개류
524,국류
525,국류
526,국류
527,찌개류
528,소돼지내장류
529,찌개류
530,나베
531,전골류
532,마라탕
533,전골류
534,밀푀유나베
535,찌개류
536,불고기류
537,전골류
538,해물탕
539,해신탕
540,훠궈
541,김치찜
542,해산물무침류
543,생선찜류
544,생선찜류
545,동파육
546,돼지고기
547,갈비류
548,생선찜류
549,생선찜류
550,수란
551,수육족발류
552,조기찜
553,해물찜류
554,돼지고기구이류
555,불고기류
556,기타구이류
557,채소구이류
558,돼지고기구이류
559,불고기류
560,기타구이류
561,연어구이
562,돼지고기구이류
563,생선구이류
564,소고기구이류
565,유제품류
566,생선구이류
567,오리구이류
568,전류
569,전류
570,전류
571,기타구이류
572,떡류
573,전류
574,전류
575,전류
576,전류
577,전류
578,전류
579,전류
580,전류
581,전류
582,해물파전
583,전류
584,전류
585,전류
586,전류
587,감바스
588,고추잡채
589,채소볶음류
590,고기볶음류
591,두부김치
592,나물류
593,순대볶음
594,해물볶음류
595,해물볶음류
596,고기볶음류
597,해물볶음류
598,생선조림류
599,기타조림류
600,생선조림류
601,생선조림류
602,생선조림류
603,튀김류
604,튀김류
605,튀김류
606,튀김류
607,튀김볶음류
608,튀김볶음류
609,생선튀김류
610,튀김류
611,강정류
612,튀김류
613,튀김류
614,튀김류
615,치킨가스
616,난자완스
617,나물류
618,나물류
619,나물류
620,무침류
621,무침류
622,나물류
623,무침류
624,무침류
625,무침류
626,무침류
627,해산물무침류
628,무침류
629,나물류
630,무침류
631,해산물무침류
632,김치류
633,김치류
634,김치류
635,김치류
636,물김치류
637,김치류
638,김치류
639,김치류
640,물김치류
641,김치류
642,김치류
643,게장류
644,젓류
645,젓류
646,장아찌류
647,장아찌류
648,장아찌류
649,장아찌류
650,장아찌류
651,음료류
652,음료류
653,음료류
654,디저트류
655,기타
656,기타
657,일반밥류
658,회덮밥류
659,일반밥류
660,회덮밥류
661,일반밥류
662,덮밥류
663,회덮밥류
664,국밥류
665,일반밥류
666,일반밥류
667,일반밥류
668,국밥류
669,기타밥류
670,일반밥류
671,일반밥류
672,일반밥류
673,일반밥류
674,국밥류
675,김밥류
676,초밥류
677,일반밥류
678,일반밥류
679,일반밥류
680,국밥류
681,일반밥류
682,일반밥류
683,일반밥류
684,일반밥류
685,일반밥류
686,초밥류
687,육회비빔밥
688,일반밥류
689,초밥류
690,일반밥류
691,일반밥류
692,일반밥류
693,샌드위치류
694,샌드위치류
695,일반빵류
696,샌드위치류
697,베이커리류
698,샌드위치류
699,국수류
700,국수류
701,자장면류
702,우동류
703,국수류
704,만두류
705,만두류
706,만두류
707,국수류
708,탕수류
709,국수류
710,냉면류
711,만두류
712,스파게티류
713,수제비류
714,우동류
715,냉면류
716,우동류
717,스파게티류
