,food_class1
0,국밥
1,기장밥
2,김밥
3,덮밥
4,보리밥
5,볶음밥
6,비빔밥
7,삼각김밥
8,수수밥
9,알밥
10,영양돌솥밥
11,오므라이스
12,자장밥
13,잡곡밥
14,잡채밥
15,주먹밥
16,짬뽕밥
17,차조밥
18,찰밥
19,초밥
20,카레라이스
21,콩나물밥
22,콩밥
23,하이라이스
24,현미밥
25,회덮밥
26,가래떡
27,경단
28,꿀떡
29,모듬찰떡
30,백설기
31,송편
32,시루떡
33,약식
34,인절미
35,절편
36,증편
37,찹쌀떡
38,도넛
39,마늘빵
40,머핀
41,모닝빵
42,모카빵
43,베이글
44,샌드위치
45,소보로빵
46,식빵
47,초코소라빵
48,츄러스
49,카스텔라
50,케이크
51,크로와상
52,파이/만주
53,페이스트리
54,피자
55,피자빵
56,햄버거
57,호떡
58,간자장
59,국수
60,냉면
61,떡국
62,떡만두국
63,라면
64,만두
65,만두국
66,메밀국수
67,수제비
68,스파게티
69,우동
70,우동볶음
71,월남쌈
72,자장면
73,짬뽕
74,쫄면
75,칼국수
76,콩국수
77,닭죽
78,스프
79,오리죽
80,전복죽
81,채소죽
82,팥죽
83,호박죽
84,흑임자죽
85,갈비탕
86,감자국
87,곰탕
88,굴국
89,김치국
90,내장탕
91,냉국
92,달걀국
93,달걀탕
94,닭곰탕
95,도가니탕
96,된장국
97,무국
98,묵국
99,미역국
100,배추국
101,북어국
102,사골국
103,삼계탕
104,새우탕
105,설렁탕
106,순대국
107,어묵국(어묵탕)
108,오징어국
109,육개장
110,장어탕
111,재첩국
112,조개국
113,콩나물국
114,토란국
115,해장국
116,동태국
117,갈치찌개
118,감자탕
119,김치전골
120,김치찌개
121,꽃게탕
122,낙지전골
123,동태찌개
124,돼지고기찌개
125,된장찌개
126,두부찌개
127,매운탕
128,버섯전골
129,부대찌개
130,샤브샤브
131,소고기전골
132,순두부찌개
133,알탕
134,오리백숙
135,오리탕
136,오징어찌개
137,청국장찌개
138,추어탕
139,콩비지찌개
140,호박찌개
